"Gewässer","","'=","Donau 8427",""
"Messstelle","","'=","Immendingen CQQ105 2187",""
"","","'=","Ulm-Wiblingen CQQ803 2198",""
"Parameter","","'=","4 T Temperatur Grad Celsius",""
"Zeitraum","","'=","Tue Dec 01 00:00:00 CET 2015 Sat Aug 31 23:59:59 CEST 2024",""


"Gewässer","GCODE","Messstelle","Ost","Nord","Parameter","Datum","Tagesmittelwert","Dimension"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","03.05.2016","9,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","04.05.2016","8,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","05.05.2016","9,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","06.05.2016","11,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","07.05.2016","12,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","08.05.2016","13","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","09.05.2016","13,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","10.05.2016","13,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","11.05.2016","13,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","12.05.2016","12,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","13.05.2016","11,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","14.05.2016","11","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","15.05.2016","10,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","16.05.2016","9,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","17.05.2016","9,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","18.05.2016","10,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","19.05.2016","11,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","20.05.2016","11,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","21.05.2016","13","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","22.05.2016","14,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","23.05.2016","13,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","24.05.2016","11,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","25.05.2016","11,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","26.05.2016","13,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","27.05.2016","14,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","28.05.2016","15,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","29.05.2016","14,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","30.05.2016","13,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","31.05.2016","13,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","01.06.2016","13,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","02.06.2016","13,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","03.06.2016","13,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","04.06.2016","13,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","05.06.2016","13,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","06.06.2016","13,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","07.06.2016","14,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","08.06.2016","13,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","09.06.2016","13,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","10.06.2016","13,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","11.06.2016","13","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","12.06.2016","12,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","13.06.2016","12,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","14.06.2016","12,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","15.06.2016","11,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","16.06.2016","11,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","17.06.2016","11,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","18.06.2016","11,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","19.06.2016","12","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","20.06.2016","12,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","21.06.2016","12,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","22.06.2016","14,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","23.06.2016","15,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","24.06.2016","16,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","25.06.2016","16,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","26.06.2016","15,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","27.06.2016","14,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","28.06.2016","14,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","29.06.2016","15,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","30.06.2016","15,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","01.07.2016","15,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","02.07.2016","15,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","03.07.2016","14,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","04.07.2016","15,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","05.07.2016","15,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","06.07.2016","16,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","07.07.2016","16,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","08.07.2016","17,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","09.07.2016","17,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","10.07.2016","18,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","11.07.2016","19,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","12.07.2016","18,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","13.07.2016","16,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","14.07.2016","15,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","15.07.2016","14,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","16.07.2016","14,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","17.07.2016","15,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","18.07.2016","17,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","19.07.2016","18,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","20.07.2016","20,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","21.07.2016","20,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","22.07.2016","20,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","23.07.2016","18,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","24.07.2016","18,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","25.07.2016","18,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","26.07.2016","18,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","27.07.2016","18,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","28.07.2016","18,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","29.07.2016","18,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","30.07.2016","18,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","31.07.2016","19,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","01.08.2016","18","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","02.08.2016","17,4","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","03.08.2016","17,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","04.08.2016","18,1","°C"
