,river,station_id,name,temperature,dt64,geometry
199,Rhein,CXX334,Iffezheim,18.9,1992-09-16,POINT (8.109691899961788 48.83126839719035)
200,Rhein,CXX334,Iffezheim,19.0,1992-09-17,POINT (8.109691899961788 48.83126839719035)
201,Rhein,CXX334,Iffezheim,19.0,1992-09-18,POINT (8.109691899961788 48.83126839719035)
202,Rhein,CXX334,Iffezheim,19.3,1992-09-19,POINT (8.109691899961788 48.83126839719035)
203,Rhein,CXX334,Iffezheim,19.3,1992-09-20,POINT (8.109691899961788 48.83126839719035)
204,Rhein,CXX334,Iffezheim,19.1,1992-09-21,POINT (8.109691899961788 48.83126839719035)
205,Rhein,CXX334,Iffezheim,19.3,1992-09-22,POINT (8.109691899961788 48.83126839719035)
206,Rhein,CXX334,Iffezheim,19.4,1992-09-23,POINT (8.109691899961788 48.83126839719035)
207,Rhein,CXX334,Iffezheim,19.4,1992-09-24,POINT (8.109691899961788 48.83126839719035)
208,Rhein,CXX334,Iffezheim,19.3,1992-09-25,POINT (8.109691899961788 48.83126839719035)
209,Rhein,CXX334,Iffezheim,19.3,1992-09-26,POINT (8.109691899961788 48.83126839719035)
210,Rhein,CXX334,Iffezheim,19.3,1992-09-27,POINT (8.109691899961788 48.83126839719035)
211,Rhein,CXX334,Iffezheim,19.2,1992-09-28,POINT (8.109691899961788 48.83126839719035)
212,Rhein,CXX334,Iffezheim,18.9,1992-09-29,POINT (8.109691899961788 48.83126839719035)
213,Rhein,CXX334,Iffezheim,18.7,1992-09-30,POINT (8.109691899961788 48.83126839719035)
214,Rhein,CXX334,Iffezheim,18.5,1992-10-01,POINT (8.109691899961788 48.83126839719035)
215,Rhein,CXX334,Iffezheim,18.3,1992-10-02,POINT (8.109691899961788 48.83126839719035)
216,Rhein,CXX334,Iffezheim,18.0,1992-10-03,POINT (8.109691899961788 48.83126839719035)
217,Rhein,CXX334,Iffezheim,17.5,1992-10-04,POINT (8.109691899961788 48.83126839719035)
218,Rhein,CXX334,Iffezheim,16.9,1992-10-05,POINT (8.109691899961788 48.83126839719035)
219,Rhein,CXX334,Iffezheim,16.6,1992-10-06,POINT (8.109691899961788 48.83126839719035)
220,Rhein,CXX334,Iffezheim,16.5,1992-10-07,POINT (8.109691899961788 48.83126839719035)
221,Rhein,CXX334,Iffezheim,16.5,1992-10-08,POINT (8.109691899961788 48.83126839719035)
222,Rhein,CXX334,Iffezheim,16.5,1992-10-09,POINT (8.109691899961788 48.83126839719035)
223,Rhein,CXX334,Iffezheim,16.2,1992-10-10,POINT (8.109691899961788 48.83126839719035)
224,Rhein,CXX334,Iffezheim,15.6,1992-10-11,POINT (8.109691899961788 48.83126839719035)
225,Rhein,CXX334,Iffezheim,15.0,1992-10-12,POINT (8.109691899961788 48.83126839719035)
226,Rhein,CXX334,Iffezheim,14.3,1992-10-13,POINT (8.109691899961788 48.83126839719035)
227,Rhein,CXX334,Iffezheim,13.9,1992-10-14,POINT (8.109691899961788 48.83126839719035)
228,Rhein,CXX334,Iffezheim,13.8,1992-10-15,POINT (8.109691899961788 48.83126839719035)
229,Rhein,CXX334,Iffezheim,13.6,1992-10-16,POINT (8.109691899961788 48.83126839719035)
230,Rhein,CXX334,Iffezheim,13.4,1992-10-17,POINT (8.109691899961788 48.83126839719035)
