station_no;time;max(cm)
4284170000100;2023-01-23T00:00:00.000+01:00;3.60
4284170000100;2023-01-24T00:00:00.000+01:00;3.40
4284170000100;2023-01-25T00:00:00.000+01:00;3.10
4284170000100;2023-01-26T00:00:00.000+01:00;2.90
4284170000100;2023-01-27T00:00:00.000+01:00;3.40
4284170000100;2023-01-28T00:00:00.000+01:00;3.10
4284170000100;2023-01-29T00:00:00.000+01:00;1.90
4284170000100;2023-01-30T00:00:00.000+01:00;3.20
4284170000100;2023-01-31T00:00:00.000+01:00;3.90
4284170000100;2023-02-01T00:00:00.000+01:00;3.70
4284170000100;2023-02-02T00:00:00.000+01:00;4.70
4284170000100;2023-02-03T00:00:00.000+01:00;5.20
4284170000100;2023-02-04T00:00:00.000+01:00;5.20
4284170000100;2023-02-05T00:00:00.000+01:00;5.10
4284170000100;2023-02-06T00:00:00.000+01:00;5.10
4284170000100;2023-02-07T00:00:00.000+01:00;4.80
4284170000100;2023-02-08T00:00:00.000+01:00;3.00
4284170000100;2023-02-09T00:00:00.000+01:00;
4284170000100;2023-02-10T00:00:00.000+01:00;4.50
4284170000100;2023-02-11T00:00:00.000+01:00;5.20
4284170000100;2023-02-12T00:00:00.000+01:00;5.90
4284170000100;2023-02-13T00:00:00.000+01:00;6.10
4284170000100;2023-02-14T00:00:00.000+01:00;5.90
4284170000100;2023-02-15T00:00:00.000+01:00;5.10
4284170000100;2023-02-16T00:00:00.000+01:00;4.60
4284170000100;2023-02-17T00:00:00.000+01:00;6.20
4284170000100;2023-02-18T00:00:00.000+01:00;6.90
4284170000100;2023-02-19T00:00:00.000+01:00;6.90
4284170000100;2023-02-20T00:00:00.000+01:00;6.90
4284170000100;2023-02-21T00:00:00.000+01:00;7.10
4284170000100;2023-02-22T00:00:00.000+01:00;7.20
4284170000100;2023-02-23T00:00:00.000+01:00;7.10
4284170000100;2023-02-24T00:00:00.000+01:00;7.10
4284170000100;2023-02-25T00:00:00.000+01:00;6.20
4284170000100;2023-02-26T00:00:00.000+01:00;5.30
4284170000100;2023-02-27T00:00:00.000+01:00;4.70
4284170000100;2023-02-28T00:00:00.000+01:00;4.00
4284170000100;2023-03-01T00:00:00.000+01:00;3.80
4284170000100;2023-03-02T00:00:00.000+01:00;3.70
4284170000100;2023-03-03T00:00:00.000+01:00;3.70
4284170000100;2023-03-04T00:00:00.000+01:00;4.10
4284170000100;2023-03-05T00:00:00.000+01:00;4.20
4284170000100;2023-03-06T00:00:00.000+01:00;4.10
4284170000100;2023-03-07T00:00:00.000+01:00;4.00
4284170000100;2023-03-08T00:00:00.000+01:00;3.90
4284170000100;2023-03-09T00:00:00.000+01:00;4.40
4284170000100;2023-03-10T00:00:00.000+01:00;5.20
4284170000100;2023-03-11T00:00:00.000+01:00;5.10
4284170000100;2023-03-12T00:00:00.000+01:00;5.00
4284170000100;2023-03-13T00:00:00.000+01:00;6.00
4284170000100;2023-03-14T00:00:00.000+01:00;6.20
4284170000100;2023-03-15T00:00:00.000+01:00;6.10
4284170000100;2023-03-16T00:00:00.000+01:00;5.60
4284170000100;2023-03-17T00:00:00.000+01:00;5.90
4284170000100;2023-03-18T00:00:00.000+01:00;6.80
4284170000100;2023-03-19T00:00:00.000+01:00;7.00
4284170000100;2023-03-20T00:00:00.000+01:00;7.30
4284170000100;2023-03-21T00:00:00.000+01:00;8.00
4284170000100;2023-03-22T00:00:00.000+01:00;8.80
4284170000100;2023-03-23T00:00:00.000+01:00;9.20
4284170000100;2023-03-24T00:00:00.000+01:00;8.20
4284170000100;2023-03-25T00:00:00.000+01:00;
4284170000100;2023-03-26T00:00:00.000+01:00;
