station_no;time;mean(cm)
2783721000100;2023-04-26T00:00:00.000+01:00;9.37
2783721000100;2023-04-27T00:00:00.000+01:00;9.23
2783721000100;2023-04-28T00:00:00.000+01:00;9.16
2783721000100;2023-04-29T00:00:00.000+01:00;9.25
2783721000100;2023-04-30T00:00:00.000+01:00;9.38
2783721000100;2023-05-01T00:00:00.000+01:00;9.40
2783721000100;2023-05-02T00:00:00.000+01:00;9.50
2783721000100;2023-05-03T00:00:00.000+01:00;9.57
2783721000100;2023-05-04T00:00:00.000+01:00;9.52
2783721000100;2023-05-05T00:00:00.000+01:00;9.61
2783721000100;2023-05-06T00:00:00.000+01:00;9.82
2783721000100;2023-05-07T00:00:00.000+01:00;9.98
2783721000100;2023-05-08T00:00:00.000+01:00;10.15
2783721000100;2023-05-09T00:00:00.000+01:00;10.29
2783721000100;2023-05-10T00:00:00.000+01:00;10.46
2783721000100;2023-05-11T00:00:00.000+01:00;10.55
2783721000100;2023-05-12T00:00:00.000+01:00;10.52
2783721000100;2023-05-13T00:00:00.000+01:00;10.43
2783721000100;2023-05-14T00:00:00.000+01:00;10.42
2783721000100;2023-05-15T00:00:00.000+01:00;10.38
2783721000100;2023-05-16T00:00:00.000+01:00;10.40
2783721000100;2023-05-17T00:00:00.000+01:00;10.43
2783721000100;2023-05-18T00:00:00.000+01:00;10.37
2783721000100;2023-05-19T00:00:00.000+01:00;10.25
2783721000100;2023-05-20T00:00:00.000+01:00;10.26
2783721000100;2023-05-21T00:00:00.000+01:00;10.33
2783721000100;2023-05-22T00:00:00.000+01:00;10.39
2783721000100;2023-05-23T00:00:00.000+01:00;10.60
2783721000100;2023-05-24T00:00:00.000+01:00;10.76
2783721000100;2023-05-25T00:00:00.000+01:00;10.60
2783721000100;2023-05-26T00:00:00.000+01:00;10.42
2783721000100;2023-05-27T00:00:00.000+01:00;10.37
2783721000100;2023-05-28T00:00:00.000+01:00;10.43
2783721000100;2023-05-29T00:00:00.000+01:00;10.61
2783721000100;2023-05-30T00:00:00.000+01:00;10.77
2783721000100;2023-05-31T00:00:00.000+01:00;10.85
2783721000100;2023-06-01T00:00:00.000+01:00;10.86
2783721000100;2023-06-02T00:00:00.000+01:00;10.93
2783721000100;2023-06-03T00:00:00.000+01:00;10.90
2783721000100;2023-06-04T00:00:00.000+01:00;10.87
2783721000100;2023-06-05T00:00:00.000+01:00;10.88
2783721000100;2023-06-06T00:00:00.000+01:00;10.93
2783721000100;2023-06-07T00:00:00.000+01:00;11.05
2783721000100;2023-06-08T00:00:00.000+01:00;11.25
2783721000100;2023-06-09T00:00:00.000+01:00;11.45
2783721000100;2023-06-10T00:00:00.000+01:00;11.50
2783721000100;2023-06-11T00:00:00.000+01:00;11.63
2783721000100;2023-06-12T00:00:00.000+01:00;11.73
2783721000100;2023-06-13T00:00:00.000+01:00;11.85
2783721000100;2023-06-14T00:00:00.000+01:00;11.90
2783721000100;2023-06-15T00:00:00.000+01:00;11.94
2783721000100;2023-06-16T00:00:00.000+01:00;11.93
2783721000100;2023-06-17T00:00:00.000+01:00;11.93
2783721000100;2023-06-18T00:00:00.000+01:00;11.95
2783721000100;2023-06-19T00:00:00.000+01:00;12.00
2783721000100;2023-06-20T00:00:00.000+01:00;12.10
2783721000100;2023-06-21T00:00:00.000+01:00;12.23
2783721000100;2023-06-22T00:00:00.000+01:00;12.67
2783721000100;2023-06-23T00:00:00.000+01:00;13.03
